num_poste,num_poste,nom_usuel,lat,lon,alti,aaaammjj,rr,qrr,tn,qtn,htn,qhtn,tx,qtx,htx,qhtx,tm,qtm,tntxm,qtntxm,tampli,qtampli,tnsol,qtnsol,tn50,qtn50,dg,qdg,ffm,qffm,ff2m,qff2m,fxy,qfxy,dxy,qdxy,hxy,qhxy,fxi,qfxi,dxi,qdxi,hxi,qhxi,fxi2,qfxi2,dxi2,qdxi2,hxi2,qhxi2,fxi3s,qfxi3s,dxi3s,qdxi3s,hxi3s,qhxi3s,drr,qdrr
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230318,5.8,1,9.5,1,129,9,16,1,1518,9,11.4,1,12.8,1,6.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20231023,7.2,1,10.2,1,525,9,15.6,1,1436,9,11.9,1,12.9,1,5.4,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230426,0,1,8.9,1,601,9,16.6,1,1538,9,12.2,1,12.8,1,7.7,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230218,0,1,9.4,1,648,9,11.8,1,1354,9,10.7,1,10.6,1,2.4,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230322,2.8,1,10.2,1,2047,9,12.5,1,2047,9,11.9,1,11.4,1,2.3,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20231206,1.2,1,0,1,723,9,7.4,1,1342,9,3.7,1,3.7,1,7.4,1,,,,,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230612,0,1,14.4,1,58,9,25,1,1404,9,18.6,1,19.7,1,10.6,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230512,1.6,1,7.5,1,248,9,18.5,1,1226,9,12.1,1,13,1,11,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230328,0,1,6.7,1,601,9,16,1,1529,9,10.5,1,11.4,1,9.3,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230513,0,1,11,1,2002,9,17.1,1,1324,9,13.2,1,14.1,1,6.1,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230105,0,1,11.3,1,752,9,13,1,1340,9,12,1,12.2,1,1.7,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230412,0.6,1,6,1,540,9,13,1,1425,9,8.7,1,9.5,1,7,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20231007,0,1,9.5,1,537,9,24.7,1,1423,9,16.8,1,17.1,1,15.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230304,0.2,1,-0.7,1,620,9,7.6,1,1044,9,4.2,1,3.5,1,8.3,1,,,,,150,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230528,0,1,10.7,1,404,9,26.4,1,1439,9,18.7,1,18.6,1,15.7,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20231230,10.9,1,6.9,1,128,9,13.4,1,1308,9,10.5,1,10.2,1,6.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230120,0.4,1,0,1,55,9,7.2,1,1441,9,2.4,1,3.6,1,7.2,1,,,,,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230109,2.6,1,5.6,1,823,9,9.7,1,1455,9,7.1,1,7.7,1,4.1,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230620,0,1,19,1,459,9,26.1,1,1152,9,21.4,1,22.6,1,7.1,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230410,2.8,1,11.1,1,408,9,17.3,1,1610,9,12.7,1,14.2,1,6.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230920,36.5,1,16.2,1,59,9,23.6,1,1130,9,18.5,1,19.9,1,7.4,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230309,4,1,9.9,1,2107,9,13.9,1,1347,9,11.8,1,11.9,1,4,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230509,1.6,1,13.1,1,517,9,19.4,1,1525,9,14.6,1,16.3,1,6.3,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20231126,0.8,1,-0.3,1,529,9,9.2,1,459,9,4.3,1,4.5,1,9.5,1,,,,,197,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230303,0,1,1.2,1,515,9,11.9,1,1403,9,5.3,1,6.6,1,10.7,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230910,3.4,1,20,1,622,9,29.1,1,1409,9,23.2,1,24.6,1,9.1,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230928,1.6,1,12.9,1,409,9,20.4,1,1654,9,17.3,1,16.7,1,7.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20231018,12,1,15.7,1,459,9,19.2,1,1134,9,16.7,1,17.5,1,3.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230906,0,1,16.9,1,542,9,32.4,1,1358,9,24.6,1,24.7,1,15.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230708,0.2,1,19.8,1,458,9,28.6,1,1203,9,22.9,1,24.2,1,8.8,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230623,0,1,14.2,1,58,9,29,1,1534,9,21,1,21.6,1,14.8,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230515,3.2,1,9.7,1,2242,9,14.9,1,1615,9,11.6,1,12.3,1,5.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230401,1.2,1,8.5,1,556,9,14.5,1,1532,9,10.6,1,11.5,1,6,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230628,0,1,12.8,1,336,9,25.3,1,1642,9,19.8,1,19.1,1,12.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230327,0.2,1,5.5,1,611,9,14.6,1,1346,9,10,1,10.1,1,9.1,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20231009,0.2,1,9.3,1,625,9,28.8,1,1437,9,17.9,1,19.1,1,19.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230313,1.2,1,11.1,1,1749,9,15.9,1,1238,9,12.9,1,13.5,1,4.8,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230924,0,1,11.9,1,231,9,23.3,1,1455,9,17,1,17.6,1,11.4,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20231124,0,1,10,1,1750,9,13.8,1,1143,9,10.5,1,11.9,1,3.8,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230205,0,1,7.2,1,220,9,12.2,1,1341,9,7.6,1,9.7,1,5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35238003,35238003,"RENNES GALLET",48.126167,-1.6435,66,20230716,0.8,1,14.1,1,419,9,22.9,1,1340,9,17.6,1,18.5,1,8.8,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
